id_technology,description,id_technologyGroup
CAS_UV_Cl_O,"Influent and effluent waters were collected at four major secondary WWTPs in Taipei. The city of Taipei and its suburbs are densely populated, with >6.4 million inhabitants, and domestic wastewaters supply the primary water source for these four WWTPs. Dihua (WWTP 2) and Neihu (WWTP 4), the two largest WWTPs, are additionally supplied by industrial, hospital, and livestock wastewaters, as well as groundwater. (only WWTP 1 ad 4 use Activated sludge as secondary treatment, therefore only those results are used here)
WWTP1: 6.9*10^3 inhabitatts; domestic wastewater treated,1°treatment is screening and sedimentation; 2° treatment is activated sludge adn sedimentation; UV disinfection
WWTP4: 700*10^3 inhabitatts; domestic, industrial, hospital, wasre effluent wastewater treated,1°treatment is grit removal, screening and sedimentation; 2° treatment is ctivated sludge adn sedimentation; 3° is chlorination",CAS
CAS_P,"Samples were collected from five municipal WWTPs (referred as A, B, C, D and E) in Ulsan city, having a population of abou1.1 million. These WWTPs employ similar conventional treatment processes: primary treatment to remove particles coupled with secondary biological treatment.  For the secondary biological treatment processes, WWTPs A and B employ conventional activated sludge process. 

The WWTP C has employed B3 (Bio Best Bacillus) treatment process. The B3 reactor is equally divided into four chambers and the intensity of aeration is gradually decreased, for example, 60–80% in the first chamber to gradual reduction of 20–40% in the subsequent chambers. The DNR (Daewoo Nutrient Removal) treatment process adopted in WWTP D is a modified activated sludge process consisting of sludge denitrification tank, anaerobic, anoxic and aerobic zones that help in the simultaneous removal of nitrogen and phosphorus. The WWTP E has employed Symbio treatment process, wherein both aerobic and anoxic condi tions exist in a single stage, within a single tank.",CAS
CAS_Q,"Samples were obtained from three full-scale wastewater treatment plants (WWTPs) in the region of Catalonia (Spain).

 WWTP1 and WWTP2 treat predominantly municipal wastewater, while the WWTP3 influent has an important industrial contribution. The wastewater treatment process in WWTP1 consists in pre-treatment, primary settling, and biological treatment (anoxic/aerobic) followed by secondary settling. The secondary effluent then passes through coagula tion/flocculation and lamella settling, and after microfiltration and chlorination is discharged as tertiary effluent. The gravity thickened (primary sludge) and flotation thickened waste activated sludge are mixed and dewatered via centrifuge, and sent for composting. The WWTP1 is designed for 210000 equivalent inhabitants (eq.inh.) and to treat up to 47500 m3/day of wastewater. It is situated in the tourist coastal area where the amount and the quality of water entering the plant are significantly affected by the seasonal population growth. The wastewater flow in WWTP1 changes from 15000 m3/day, during the winter months, to 32000 m3/day during the summer months. During 2008, it treated (on average) 25000 m3/day for 74000 eq.inh. The WWTP2, which usually works with 80% of designed treatment capacity, treated around 26000 m3/day in 2008, serving a population equivalent of around 170000. The treatment includes pre-treatment and primary clarifier, followed by activated sludge treatment and secondary clarifier. Sludge generated from primary and secondary clarifiers is thickened and blended and fed to anaerobic digester system, and dewatered via centrifuge. WWTP3 employs primary sedimentation, followed by a secondary biological treatment for nitrogen and phosphorus removal. The sludge mixture proceeding from the primary and secondary settlers is thickened by gravity, treated by anaerobic digestion and dewatered on belt filter press. The WWTP3 treated an average of 21000 m3/ day of urban and industrial wastewater in 2008, which is about 80% of the total treatment capacity of the plant.",CAS
CAS_R,"The WWTP treatment consisted in a primary treatment with a screen, an aerated grit-removal tank and a primary clarifier. The secondary treatment was an activated sludge system and a second clarifier. The influent were from a hospital wastewater. ",CAS
CAS_S,"The Benson WWTP serves a population of 6,230 people with a consented dry weather flow (DWF) of 2,517 m3/d and an annual average DWF of 1,368 m3/d. TheBenson WWTP has a hydraulic retention time of 7–8 h at DWFand consists of trickling filters as the main biological treatment step. Oxford WWTP serves a population of 208,000 with a consented DWF of 50,965 m3/d and an annual mean DWF of 38,000 m3/d. The Oxford WWTP has a hydraulic retention time of 15–18 h, and utilizes activated sludge as the main biological treatment step. Both WWTPs have primary and secondary sedimentation steps. Both Oxford and Benson WWTPs feed into the main stem of the River Thames, separated by approximately 10 miles.",CAS
CAS_T,"Sampling was conducted from March 2011 to February 2012 in a WWTP in Ceské Bude jovice, Czech Republic. In total 272 samples were collected. This WWTP utilizes a biological activated sludge process with partial nitrification and thermophile anaerobic sludge stabilization. The capacity of this WWTP is 90 000 m3 day 1 and it serves 112 000 inhabitants. The main input consists of wastewater from communal use, while industrial use accounts for less than 5% of the input water. ",CAS
CAS_MF_B,This plant works on mechanical-biological principles with the maximal projected capacity of 24 850 EI (equivalent inhabitant) and a hydraulic load of 5 184 m3 day–1. The biological treatment consists of an anoxic selector and an activation tank with fine bubble aeration. Microfiltration membrane system is used for tertiary treatment.,CAS
CAS_V,"Sewage treatment plants at Shatin and Stonecutters Island.
Shatin: 369512 population, SI: 3500000 population
Shatin: Secondary treatment processes including (i) screening of coarse material; (ii) settlement of grit particles; (iii) primary sedimentation of suspended matter; and (iv) biological treatment of sewage
SI: Chemically enhanced primary treatment process in which chemicals, including ferric iron and polymers, are used to treat the sewage. Treated sewage is discharged via an outfall in the western part of Victoria Harbor",CAS
CAS_W,"Water samples (3 L) were collected in the influent/effluent of four municipal treatment plants (WWTPs) serving the city of Rome (Italy) and located in the northern (NR), southern (SR), western (WR) and eastern (ER) parts of Rome.  Both NR and WR include secondary (biological) and tertiary (chlorination) wastewater treatments, while SR and ER include just secondary treatments. The population served by each WWTP was 780.000, 1.100.000, 800,000 and 350.000 inhabitant equivalents for NR, SR, WR and ER, respectively. ",CAS
CAS_X,"input is Municipal water via pumping stations, woth mean flow of 175500m3 day-1.. With screening of 3mm step screen, and vortex type grit removal, and biological treatment of  Anaerobic Selector for phosphorous removal, Anoxic Selector for Nitrogen Removal and extended aeration with activated sludge recirculation. it also includes tertiary treatment of sand filtration followed by ultrafiltration followed by a chlorine disinfection. ",CAS
CAS_Y,"The aim of this work was to perform a detailed study on the occurrence and fate of macrolide-related compounds in the central wastewater treatment plant (WWTP) of the city of Zagreb, covering a period of one year and encompassing both raw wastewater (RW) and biologically treated wastewater (secondary effluent; SE). WWTP of the city of Zagreb is a full-scale mechanical–biological treatment plant which receives combined municipal and industrial wastewater, including pharmaceutical industry effluents. It has a designed capacity of 1.2 million population equivalents but currently serves approximately 700?000 inhabitants. The average hydraulic load of raw wastewater is about 300?000 m3/day, and hydraulic retention time (HRT) is approximately 12 h.",CAS
CAS_Z,"This treatment technology is a combination from four papers, each with primary and secondary treatment. The description of all the treatment trains are:
1. Five municipal WWTPs located in the Monastir Governorate, central-eastern Tunisia. These WWTPs serve between 13,488 and 165,184 people and three of them provide secondary treatment through conventional activated sludge processes but with different capacities and type of sewage (domestic and pre-treated industrial). Moreover, one of the WWTP (located in the area of Beni Hassen) uses activated sludge and a tertiary UV disinfection treatment, whereas two other WWTP (located in the area of Moknine) treats wastewater using naturally aerated lagoons as secondary treatment process. In all studied WWTPs, the sewage influent undergoes preliminary treatment to remove large solids.
2. Samples were collected during four sampling events from East Lansing WWTP in Michigan between July and December 2010. include raw influent, pre- treatment effluent (after equalization basin), primary effluent (after primary clarifier), aeration effluent (after aeration tank), secondary effluent (prior to disinfection), and final effluent
3. Two full-scale municipal WWTPs in the greater Gwangju, South Korea area were studied. WWTP1 receives domestic sewage mainly from the districts of Dong-gu, Seo-gu, Nam-gu, and Buk-gu, which comprise almost 72.6% of the total population of Gwangju. In addition, the plant receives wastewater mainly from poultry farms (97.3% of total livestock) in Gwangju. WWTP2 receives pretreated industrial wastewater from major industrial clusters consisting of machinery, steel and electronic manufacturing plants, as well as domestic sewage mainly from the district of Gwangsan-gu making up 27.4% of the total population. The two WWTPs employ traditional wastewater treatment processes of primary sedimentation, biological treatment, chemical treatment (coagulation), filtration, and tertiary treatment using UV disinfection. The biological treatment of WWTP1 constitutes a sequential process consisting of anaerobic, anoxic and oxic tanks (A2O). The WWTP2 is operated in parallel via two types of biological treatment: one, a biological process consisting of anoxic and oxic tanks (Modified Ludzack-Ettinger; MLE); the other, an A2O process. During chemical treatment, polyaluminum chloride (PAC) is used as a coagulant in both WWTPs. Daily usage was up to 20,000 kg/day in the WWTP1 and 7493 kg/day in the WWTP2, respectively. The tertiary treatments of both WWTPs are UV disinfection using 27 mJ/cm2 of the UV dose (a fluence rate of 13.5 mW/cm2 and 2 s of assumed contact time) suggested by the manufacturer, EcoSet, Inc. (Seoul, South Korea). Total treatment capacities of WWTP1 and WWTP2 are 600,000 tons of sewage influent per day (tons/day) and 120,000 tons/day, respectively.
4. This study was conducted at a full-scale UWTP located in Northern Portugal, equipped with activated sludge secondary treatment and UV disinfection as described before (Sousa et al., 2017). The plant serves a population of 170,000 inhabitant equivalent, has an average daily flow
of 35,900 m3, and average daily values of chemical oxygen demand (COD): 222470 kg; biological oxygen demand (BOD5): 211100 kg; total suspended solids (TSS): 14460 kg; total nitrogen (Kjeldahl): 2550 kg; and total phosphorous: 500 kg (Table S1). The treatment includes a homogenization chamber and a bar screen to remove gross solids; a grit and a grease removal chambers, to remove small solids and fats; a primary settling tank to remove the settleable solids; an activated sludge biological treatment, with recirculation between the aerobic and anoxic tanks for removing the organic load and nutrients (N and P); and an open channel UV system (Trojan, UV3000HO), with 38 _ 8 150 W lamps per channel and a contact time of 11.44 s, corresponding to a dose of 29.7 mJ/cm2.",CAS
UV_D,"BENCH SCALE FOR THE TERTIARY TREATMENT: 

The tertiary treated urban wastewater sample (original DOC = 13.6 ± 0.7 mg/L) was collected from the final effluent basin of a Tertiary Urban Wastewater Treatment Plant located in Istanbul. The plant has a capacity of 150,000 m3 /d and serves 500,000 people. The treatment plant consists of 17 treatment units and practices simultaneoues biological organic carbon, nitrogen and phosphorus removal. The wastewater samples were stored in a cold room and directly used in the treatability experiments. Within the scope of this experimental work, UV-C-driven HP/PS/PMS treatment processes were applied to RWW samples. ",UV
UV_Fe_A,"BENCH SCALE FOR THE TERTIARY TREATMENT: 

The constructed indoor simulation reactor for treating pharmaceutical wastewater included up-flow anaerobic sludge bed (UASB), anoxic-oxic tank (A/O), secondary clarifier, flocculation tank, and an additional treatment system of AOPs.  The wastewater collected from a real pharmaceutical factory that mainly produced tetracyclines at Tianjin, China was used as the influent. 

For the Fenton oxidation, FeSO47H2O (purity   99%) was used to obtainFe concentration of 0.5 mol/L, and then H2O2 (30% w/w) solution at FeH2O2 molar ratio of 1:10 was added to initiate the reaction at pH 3.0 for 2 h. The experimental conditions used in the Fenton reaction were optimized from the orthogonal test in a preliminary experiment. In the Fenton/UV process, H2O2 and Fe2þ at a molar ratio of 10: 1 were combined with 165 mJ/cm2 UV exposure to conduct treatment for 2 h. Three replicated treated wastewater samples in different AOPs systems were collected, and then filtered through 0.22-mm filter for the following analyses. The optimal conditions for removing ARGs in Fenton reaction were obtained by conducting experiments at different Fenton doses (1 mmol/L H2O2 þ 0.1 mmol/L Fe2þ, 10 mmol/L H2O2 þ 1.0 mmol/L Fe2þ, 25 mmol/L H2O2 þ 2.5 mmol/L Fe2þ, 35 mmol/L H2O2 þ 3.5 mmol/L Fe2þ, and 50 mmol/L H2O2 þ 5.0 mmol/L Fe2þ) and reaction times (10, 30, 60, 90, 120, and 150 min).",Fe
UV_O3_A,"BENCH SCALE FOR THE TERTIARY TREATMENT: 

The constructed indoor simulation reactor for treating pharmaceutical wastewater included up-flow anaerobic sludge bed (UASB), anoxic-oxic tank (A/O), secondary clarifier, flocculation tank, and an additional treatment system of AOPs.  The wastewater collected from a real pharmaceutical factory that mainly produced tetracyclines at Tianjin, China was used as the influent.

 
For the AOPs, the UV, ozonation, Fenton, and Fenton/UV experiments were respectively carried out in a 1 L lab-scale batch reactor. 500 mL wastewater that collected from the effluent of flocculation tank was treated in AOPs with continuous stirring at 300 rpm for 2 h.A 9 W low-pressure 254-nm mercury vapor lamp (Cnlight, Foshan, China) in a quartz sleeve was employed to conduct UV irradiation (UV dose of 165 mJ/cm2 for 2 h), which was fixed in the center of the reactor as the UV source. In ozonation experiments, ozone was produced from pure oxygen in an ozone generator (JiuJiu, Daqing, China).  ",O3
UV_E,"BENCH SCLAE FOR TERTIARY TREATMENT.
Removal of antibiotic resistant bacteria and antibiotic resistance genes in wastewater effluent by UV-activated persulfate. All experiments were carried out in dark and sterile conditions. Each run was performed in triplicate, and the average values to ensure reproducibility. Three treatments including UV irradiation, PS oxidation and UV-activated PS (UV/PS) were investigated and untreated wastewater as control in this study. For UV treatment, 100 mL wastewater was first transferred into the beaker without cover (Diameter 75 mm × Height 80 mm), then a low-pressure (8 W) mercury vapor UV lamp was placed above the beaker as the UV source. For PS treatment, 0.27 g PS was added into the beaker containing 100 mL of wastewater corresponding to the PS concentration of 1 mmol· L?1 in wastewater. For UV/PS treatment, after 0.27 g PS was added into 100 mL wastewater, the UV lamp was subsequently turned on to initiate the activation reaction. All treatments were conducted for a set time (5, 10, 20, 30, 40, 50 and 60 min) in dark condition. The UV intensity was set as 400 W/cm2",UV
PhFe_D,"BENCH SCLAE FOR TERTIARY TREATMENT.
Wastewater samples were collected from the secondary effluent in a
WWTP in Nanjing, China, which uses anoxic–aerobic cyclic activated sludge technology (CAST). All samples were collected in roughly equal volumes per hour with composite samples and kept in sterile containers, which were placed in ice and transported to the laboratory for immediate analysis. 
",PhFe
UV_H2O2_C,"BENCH SCLAE FOR TERTIARY TREATMENT.

This research was conducted at the Estiviel WWTP. This plant, operated by FCC Aqualia (Spain), is located in the city of Toledo, Spain. The plant was designed to treat an average flow of 36,000 m3 /day, to deliver services to a population equivalent of 270,000 inhabitants, but it is currently treating an average flow of 12,000 m3 /day. This facility includes tertiary treatment, producing an effluent used for irrigation of gardens surrounding the facility. Tertiary treatment comprises three steps: i) coagulation/flocculation/decantation; ii) rotofilter; iii) UV-C radiation, using a LBX400e UV-C reactor of 16 UV-C lamps (WEDECO ELR30-1; 330 W). The reactor operates with a maximum emission peak of 254 nm, and it has a total volume of 140 L. Although the reactor is able to treat a maximum water flow rate of 270 m3 /h, lower flow rates were used during the oxidation treatments, specifically 28, 75 or 114 m3 /h. Therefore, different UV-C dosage (42–170 J/L) and contact time (4–18 s) were applied",UV_H2O2
FO_A,"BENCH SCLAE FOR TERTIARY TREATMENT.

We used a small scale FO membrane module to evaluate the performance of the UTFN membrane using two indicators—water-permeable and reverse solute flux. The effective area of the UTFN membrane was 12 cm2
, which was encased by the membrane module. The draw solution (DS, 0.5 M (NH4)2HPO4) and feed solution (FS, 1 L deionized water or TC/TRGs wastewater, pH ? 7.0) were placed on the left and right sides, respectively.",FO
MF_UF_NF_RO_A,"A swine breeding farm with a cultivation scale of 6500 located in Hangzhou, southeast China was investigated. The wastewater treatment plant combines conventional treatment processes (biological treatment and then chemical treatment) with advanced membrane technology (microfiltration, ultrafiltration, nanofiltration and then reverse osmosis). The biological treatment, as the first stage of treatment, constitutes a sequential process consisting of anaerobic, anoxic and oxic pools. The next stage is chemical treatment, including four settling ponds used for the primary sedimentation and another four continuous ponds for the secondary sedimentation treatment. Poly-aluminum chloride (PAC) and ash calcium powder (ACP) were used as coagulants. After coagulation and coprecipitation in the stage of chemical treatment, the wastewater was pumped to the membrane processing system for advanced treatment. Total treatment capacities (maximum) of the WWTP is 100 tons of livestock influent per day. The membrane processing system was implemented by Deqing Mingde Water Treatment Technology Co., LTD., China. ",RO
MF_RO_D,"A typical WWTPs combining the CAS system with the IMR system in Yantai City, was chosen to investigate the removal of ARGs. Besides, the effluent of the WWTPs and seawater collected from the receiving sea were monitored for investigating the influence of the WWTPs on receiving environment. ",RO
UF_NF_RO_A,"BENCH SCALE EXPERIMENT FOR TERTIARY TREATMENT

The filtration experiments were performed with a membrane testing unit from OSMO (Germany) that can be operated at pressures up to 64 bar and therefore be used for all types of membrane filtrations from microfiltration to reverse osmosis. In this crossflow filtration system, the provided feed is filtrated through flatsheet membranes, the permeate is collected in a sterile falcon tube and the retentate is internally recirculated back into the feed tank. Therefore, the feed is continuously concentrating during the filtration experiment. In every experiment, the same volume of the feed was applied (600 ml) and the same volume of permeate collected (300 ml). Ten membranes were applied in a range of MWCO from 2,300,000 Da (pore size of 0.3 mm) to 150 Da. The experiments in highly controlled conditions (with supercoiled plasmid in distilled water) were performed with all membranes, which were not available during that experimental phase. To evaluate the removal mechanisms in the conditions imitating real situations in water and wastewater treatment, all 10 membranes were tested.",RO
MBR_E,"inlet from five WWTPs,  anoxic/anaerobic MBR, microfiltration membrane, NPS: <0.45micrometer, MLSS: 6403-15350 mg/L",MBR
MBR_F,"An AnMBR comprised of a fluidized bed bioreactor (FBR) followed by an external, ceramic tubular crossflow membrane with a nominal 0.05 ?m pore size (Type1/16, Atech Innovations, Gladbeck, Germany) was operated at 20 °C. Briefly, the FBR hydraulic residence time (HRT) was 6 h and the nominal solids retention time (SRT) was 49 d. The FBR was initially fed synthetic primary effluent (235 ± 35 mg L?1 BOD5; 115 ± 40 mg L?1 volatile suspended solids [VSS]) for 320 d and then fed actual primary clarifier effluent (160 ± 60 mg L?1 BOD5; 77 ± 25 mg L?1 volatile suspended solids [VSS]) from a full-scale facility (South Shore WRRF, Oak Creek, WI) for 45 d.9 The FBR with external crossflow membrane achieved greater than 90% BOD5 and chemical oxygen demand (COD) removal, with filtrate BOD5 less than 10 mg L?1.

anoxic/anaerobic MBR, PVDF membrane, NPS: 0.05micrometer, EFA:0.05m2",MBR
MBR_G,"anoxic/anaerobic/oxic MBR, PVDF membrane
A lab-scale A2 O-MBR was established with the volume of anaerobic, anoxic and oxic tank 8.3 L, 16.7 L and 33.3 L, respectively, and the flat sheet membrane was submerged in the aerobic tank. The HRT was kept at 14 h (2h, 4 h and 8 h for the anaerobic, anoxic and oxic tank, respectively), while the SRT was 25 d during days 121–180. When the reactor was in stable operation, and the SRT was turned to 50 d in days 181–240. The lab-scale A2O-MBR was operated using the simulated municipal wastewater, and the synthetic wastewater was composed of 400 mg/L glucose (approximately 360 mg/L COD), 200 mg/L CH3COONa (approximately 190 mg/L COD), 191 mg/L NH4Cl (50 mg/L ammonium), 35 mg/L KH2PO4 (8 mg/L total phosphorus), 100 mg/L MgSO4·7H2O, 50 mg/L CaCl2·2H2O, 250 mg/L NaHCO3 (300 mg/L CaCO3 alkalinity). The trace element composed of 1500 mg/L FeCl3·7H2O, 150 mg/L H3BO4,30 mg/L CuSO4··5H2O, 180 mg/L KI, 120 mg/L MnCl2·4H2O, 60 mg/L Na2MoO4·2H2O, 120 mg/L ZnSO4·7H2O, 150 mg/L CoCl2·6H2O and 10,000 mg/L EDTA. There was no antibiotics addition throughout the whole process, and thus, the labscale set-up could provide the background value of ARGs.",MBR
MBR_H,"anoxic/aerobic MBR, PVDF flat sheet membrane, NPS: 0.1 micrometer,  EFA:0.2m2, MLSS: 10-12g/L

In this study, a laboratory-scale anaerobic/aerobic (A/O)-MBR (with an effective volume of 15 L) was established, consisting of an anoxic unit (5 L) and an aerobic unit (10 L) (Fig. S1). A hydrophilic polyvinylidene fluoride (PVDF) flat-sheet membrane module was submerged in the aerobic unit. The mean pore size of the membrane module was 0.1 microm (Shanghai SINAP membrane Tech Co., Ltd., Shanghai,China), and the effective filtration area was 0.2 m2 . The aeration flow was monitored by a flow-rate meter and supplied by means of air diffusers at the bottom of the reactors. A feeding peristaltic pump (Longer, China) was controlled by a water level sensor to maintain a constant liquid level in the bioreactor. Intermittent filtration was conducted in the studied MBR (10 min filtration and 2 min pause) using a permeation peristaltic pump. The effluent flow rate was monitored by a water meter. The trans-membrane pressure (TMP) of the MBR was kept below ?40 kPa. The membrane modules were physically backwashed to remove the fouling layer, and cleaned chemically every 20–35 days with NaClO solution (the concentration of available chlorine was 3000 mg·L?1 138 ). Inoculated sludge was obtained from the aeration tank in Quyang sewage treatment plant, Shanghai, China",MBR
MBR_I,"anoxic/anaerobic/oxic MBR, PVDF hollow fibre membrane
The four full-scale WWTPs (namely A, B, C, and D) are located in Wuxi City in south China. The process schemes include primary, secondary and tertiary treatment (filter cloth unit was applied in OD or MSBR). Influent characteristics of four WWTPs were shown in Table S1.The effluent water quality criteria of all the processes are Grade I-A discharge in China (Table S2). All the MBRs are coupled with anaerobic-anoxic-oxic (AAO) process to achieve biological nutrient removal. Hollow fiber membrane modules are used in the MBRs to draw water from mixed liquor.
",MBR
MBR_J,"aerobic MBR, PVDF hollow fibre membrane, NPS: <0.4 micrometer
Antibiotics, ARB, and ARG samples were collected in five WWTPs through the MBR process, and the biomass of MBR tank were 6200, 7030, 5850, 6020, and 7470 mg/L, respectively. The pore size of the membrane was less than 0.4 ?m, and the working cycles of suction pump were 9 ± 3 and 1 min for effluent and back wash, respectively. Citric acid and sodium hypochlorite were used as membrane cleaning agents. The average effluent chemical oxygen demand, ammonia nitrogen, total nitrogen, and total phosphorus were less than 35, 3.6, 11.8, and 0.35 mg/L, respectively, which are significantly superior to the issued wastewater discharge standard (GB18918-2002). The samples were collected for four consecutive days in one week at autumn, and the influent, MBR effluent, and MBR sludge were sampled and stored in polyethylene barrels at 4 °C.
",MBR
O3_E,"BENCH SCALE FOR TERTIARY TREATMENT

Wastewater samples were obtained from the effluent of a municipal WWTP in Nanjing, China. After being collected in sterile containers, samples were stored in ice and transported to the laboratory for immediate processing. The average daily flow rate is 50,000 m3. The chemical oxygen demand (COD), total nitrogen (TN) and ammonia nitrogen (NH4 +–N) in samples were 13–29, 17–19, and 9–12 mg/L, respectively. The suspended solid (SS) of effluent was 9–9.5 mg/L, and the bicarbonate alkalinity (CaCO3) was 165–185 mg/L. Original gene copies of wastewater effluent were 105.28 to 106.34 copies/mL for sul1, 105.22 to 106.18 copies/mL for tetG, 105.72 to 106.52 copies/mL for intI1, and 107.64 to 109.57 copies/mL for 16S rDNA.

Lab testing
For lab testing, water samples were firstly exposed by three disinfection methods (chlorination, UV, and ozonation). A wide range of disinfectant dosages was used to test the most ARG inactivation possible. After disinfection, 200-mL wastewater samples were taken and concentrated by passing through the 0.22 ?m mixed cellulose ester filter membranes (Xinya, Shanghai, China) to concentrate microbial biomass for gene copies quantification (Munir et al. 2011; Pruden et al. 2006). After filtration, the filters were immersed in 50 % ethanol for DNA protection and stored at ?20 °C prior to DNA extraction and subsequent quantification. All disinfection treatments of wastewater were conducted in duplicates for statistical analysis.",O3
O3_F,"Neugut (Dubendorf), Switzerland’s first WWTP equipped with full-scale ozonation is treating municipal wastewater of 105000 inhabitant equivalents ((2.5) × 10^4 m3 d-1). The
applied ozone doses during sampling were 0.45-0.55 gO3 gDOC-1 (2.2-2.5 mg of O3 L-1 ), 

Ozonated water is treated by sand filtration (SF, residence time =20?30 min) for biological post-treatment.",O3
O3_G,"BENCH SCALE FOR TERTIARY TREATMENT
All experiments were performed using wastewater effluent samples collected between October 2017 and January 2018, from the secondary clarifier of an UWTP located in Northern Portugal. This UWTP, serving a population equivalent of 80,000, has an average flow of 18,000 m3 day 1 and employs conventional activated sludge (CAS) as secondary treatment. Grab samples were collected in sterile glass bottles and processed immediately after being transferred to the laboratory. Ozonation experiments were performed in a continuous mode, through a flow-through reactor where untreated wastewater effluents were pumped on a continuous basis, and treated samples were exiting continuously. 
",O3
Cl_B,"BENCH SCALE FOR TERTIARY TREATMENT
Treated wastewater samples were obtained from the effluent of a biological aerated filter (BAF) process in Q WWTP of Shanghai, China. The biological process of the plant was the anaerobic-anoxic-oxic (A2 /O) process with a total hydraulic retention time (HRT) of 7.5 h. The load for the BAF was 0.35 kg NH3-N/(m3  d) with HRT of 1 h. The samples were collected in 500 mL clean Polyethylene bottles. The samples was stored at 4°C during the transportation time within 2 h, until subsequent processing in the lab, within 12 h.


The chlorination of the treated wastewater sample (300 mL) was carried out in 500-mL Erlenmeyer flasks with magnetic stir bars to mix samples under room temperature (25°C)., sodium hypochlorite was added to the samples to achieve various doses of chlorination (by DPD method), (0, 0.5, 1.0, 2.0, 5.0 and 10.0 mg Cl2/L) for a reaction time of 30 min. The pH was monitored during the process for all samples to keep constant at 7.0. 20 mL sample of each dose was applied for the determination of residual chlorine, while the remainder was added with sodium thiosulfate solution (1.5%) to terminate chlorination process. The CT value (the production of initial chlorine concentration and contact time) was used to express the dose of chlorination. The CT values in chlorination process were 0, 15, 30, 60, 150 and 300 mg Cl2 min/L, respectively.",Cl
Cl_C,"BENCH SCALE FOR TERTIARY TREATMENT

Wastewater samples were obtained from the effluent of a municipal WWTP in Nanjing, China. After being collected in sterile containers, samples were stored in ice and transported to the laboratory for immediate processing. The average daily flow rate is 50,000 m3 .

Chlorination experiments were carried out using sodium hypochlorite as free chlorine. Five hundred milliliter aliquots of samples were distributed to 500-mL sterile beakers. Sodium hypochlorite was spiked into the sample to establish desired doses of chlorine of 5, 20, 40, 80, 120, and 160 mg/L, respectively, and concentrations of chlorine were analyzed by the DPD method (Environmental Protection Agency of China 2002). After chlorine was added, the samples were stirred immediately to mix and allowed a contact time of 120 min. The sodium thiosulfate solution (Na2S2O3, 1.5 %, (w/v)) was added into the samples to terminate chlorination. To investigate the effect of contact time of chlorination on the inactivation of genes, a series of contact periods were set at 5, 15, 30, 60, 120, and 180 min for chlorine dosages of 40 and 80 mg/L, respectively.",Cl
Cl_D,"BENCH SCALE FOR TERTIARY TREATMENT
Samples were collected from the secondary effluent in a MWTP in Nanjing, China, which utilized activated sludge technology (CAST), a commonly activated sludge process used in removal of nitrogen and phosphorus as a type of sequencing batch reactor (SBR) (Demoulin et al., 2001). All samples were collected in roughly equal volumes per hour with composite samples and kept in sterile containers which were placed in ice and transported to the laboratory for immediate analysis.


The chlorination experiments were carried out in 500 mL sterile beakers with magnetic stirrers at 200 rpm to mix samples gently. NaClO was added to establish different doses of FC at 5 mg L?1 , 10 mg L?1 , 15 mg L?1 , 20 mg L?1 , 25 mg L?1 and 30 mg L?1 , respectively. Unless otherwise specified, the FC dosage was as Cl2. At the contact time of 30 min, the reaction was terminated by adding Na2S2O3 solution. To investigate the effect of chlorination time on the removal of ARGs, at FC dosage of 15 mg L?1 and 30.0 mg L?1 , samples were collected at 5 min, 15 min, 30 min, 60 min, 180 min, 300 min, 540 min, 780 min, 1020 min and 1200 min. Total chlorine (TC) and FC residual concentrations were immediately analyzed by DPD method. The pH of the secondary effluents was 7.0–7.2. The concentration of chemical oxygen demand (COD), total nitrogen (TN), NH3–N and suspended solid (SS) were 39 mg L?1 , 9.73 mg L?1 , 2.56 mg L?1 and 9 mg L?1 , respectively. The absorbance at 254 nm (UV254) of the secondary effluents was 0.093–0.15. The original gene copies of the wastewater samples were 5.49 × 104 to 8.13 × 104 copies mL?1 for sul1, 9.12 × 103 to 1.38 × 104 copies mL?1 for tetX, 6.31 × 103 to 1.10 × 104 copies mL?1 for tetG, 6.46 × 104 to 9.33 × 104 copies mL?1 for intI1 and 1.20 × 108 to 1.95 × 108 copies mL?1 for 16S rRNA genes.",Cl
Cl_E,"The full-scale UWWTP is located in Tianjin, China, which treats domestic sewage approximately 200,000 m3 114 per day. The contact time for chlorination of second 115 effluent is 30 min under the action of 8-9 mg/L chlorine oxidize (ClO2). Monthly 116 triplicate water samples of second effluent (before chlorination) and final effluent 117 (after chlorination) were collected between January 2016 to December 2016 from the 118 inlet and outlet of last treatment unit of UWWTP, where ClO2 was applied (Figure S1). 119 All samples were stored on ice, transported to the laboratory, and maintained at 4 °C 120 until they were processed for analyses within 24 h of sample collection.",Cl
